,ident,it,t,a(i),emegas(i),emepla(i)/emet,rplanet(i)/radtie,emestar,rc,qest,sigmag_0,emed,gama,apert,fpert,constmigI,emetal,taugas
140,13,199935,20000001.0,20.033316164516815,0.0,0.07606308155681869,  0.65276608972195949      ,2.4128897190093996e+33,36.67222213745117,3.998512744903565,178.83070031517818,0.17,1.0,0.0,1.0,0.1,-0.17403939366340634,3956707.5
141,13,199935,20000001.0,20.8733506048862,0.0,0.09008029799969457,  0.69065920445969109      ,2.4128897190093996e+33,36.67222213745117,3.998512744903565,178.83070031517818,0.17,1.0,0.0,1.0,0.1,-0.17403939366340634,3956707.5
142,13,199935,20000001.0,21.749236481926822,0.0,0.0692389971788375,  0.63269195291657043      ,2.4128897190093996e+33,36.67222213745117,3.998512744903565,178.83070031517818,0.17,1.0,0.0,1.0,0.1,-0.17403939366340634,3956707.5
154,15,199996,20000001.0,0.5898365736566026,10106.211161626861,10113.70271438665,   3.1207867334292572      ,1.972005605697632e+33,38.16754150390625,5.218174934387207,106.82475890119791,0.11,1.0,0.0,1.0,0.1,0.3886128067970276,2435405.5
155,15,199996,20000001.0,6.017150854058153,0.5000750171211663,6.658041930235067,   2.8085962355084488      ,1.972005605697632e+33,38.16754150390625,5.218174934387207,106.82475890119791,0.11,1.0,0.0,1.0,0.1,0.3886128067970276,2435405.5
156,15,199996,20000001.0,7.18694220493478,0.0,4.991302996651601,   2.6224155657541628      ,1.972005605697632e+33,38.16754150390625,5.218174934387207,106.82475890119791,0.11,1.0,0.0,1.0,0.1,0.3886128067970276,2435405.5
157,15,199996,20000001.0,12.09844518707524,0.0,2.214870300964868,   2.0037985337928945      ,1.972005605697632e+33,38.16754150390625,5.218174934387207,106.82475890119791,0.11,1.0,0.0,1.0,0.1,0.3886128067970276,2435405.5
158,15,199996,20000001.0,16.031109546102638,0.0,0.5163389187704506,   1.2348971623803564      ,1.972005605697632e+33,38.16754150390625,5.218174934387207,106.82475890119791,0.11,1.0,0.0,1.0,0.1,0.3886128067970276,2435405.5
159,15,199996,20000001.0,17.122522893212533,0.0,0.5860420642407573,   1.2883258066841561      ,1.972005605697632e+33,38.16754150390625,5.218174934387207,106.82475890119791,0.11,1.0,0.0,1.0,0.1,0.3886128067970276,2435405.5
160,15,199996,20000001.0,18.270215580640965,0.0,0.2481048817702789,  0.96768417079303848      ,1.972005605697632e+33,38.16754150390625,5.218174934387207,106.82475890119791,0.11,1.0,0.0,1.0,0.1,0.3886128067970276,2435405.5
161,15,199996,20000001.0,19.156807942654535,0.0,0.14539417065702212,  0.80984350661092885      ,1.972005605697632e+33,38.16754150390625,5.218174934387207,106.82475890119791,0.11,1.0,0.0,1.0,0.1,0.3886128067970276,2435405.5
162,15,199996,20000001.0,20.710770880985308,0.0,0.1429204780892607,  0.80538019733103661      ,1.972005605697632e+33,38.16754150390625,5.218174934387207,106.82475890119791,0.11,1.0,0.0,1.0,0.1,0.3886128067970276,2435405.5
163,16,199364,20000001.0,0.2048831605005396,3.314806155981976e-11,0.07087305726523697,  0.16353795965461618      ,2.517493963241577e+33,45.0421371459961,4.469478130340576,118.54372046930463,0.17,1.0,0.0,1.0,0.1,-0.35245949029922485,1107031.75
164,16,199364,20000001.0,0.6125828420662455,7.999776406168291e-11,0.08221697381066578,  0.40332227276704208      ,2.517493963241577e+33,45.0421371459961,4.469478130340576,118.54372046930463,0.17,1.0,0.0,1.0,0.1,-0.35245949029922485,1107031.75
165,16,199364,20000001.0,0.6600805307898153,1.486586657280275e-08,0.19660964041047346,  0.57794081338817205      ,2.517493963241577e+33,45.0421371459961,4.469478130340576,118.54372046930463,0.17,1.0,0.0,1.0,0.1,-0.35245949029922485,1107031.75
166,16,199364,20000001.0,0.8039741142897195,1.8345962394241268e-11,0.062278164884445215,  0.41601050756675179      ,2.517493963241577e+33,45.0421371459961,4.469478130340576,118.54372046930463,0.17,1.0,0.0,1.0,0.1,-0.35245949029922485,1107031.75
167,16,199364,20000001.0,0.9785895685867998,1.621060041098677e-11,0.06125007983684519,  0.42612183607671800      ,2.517493963241577e+33,45.0421371459961,4.469478130340576,118.54372046930463,0.17,1.0,0.0,1.0,0.1,-0.35245949029922485,1107031.75
168,16,199364,20000001.0,1.059719812238903,4.480852887703097e-11,0.07294595249466564,  0.46072256240202020      ,2.517493963241577e+33,45.0421371459961,4.469478130340576,118.54372046930463,0.17,1.0,0.0,1.0,0.1,-0.35245949029922485,1107031.75
169,16,199364,20000001.0,1.1356099548413887,1.9457512378466746e-11,0.06356352889647016,  0.45038590257691863      ,2.517493963241577e+33,45.0421371459961,4.469478130340576,118.54372046930463,0.17,1.0,0.0,1.0,0.1,-0.35245949029922485,1107031.75
170,16,199364,20000001.0,1.3197064251202413,1.361768437147575e-10,0.08915427083012896,  0.51693353705177192      ,2.517493963241577e+33,45.0421371459961,4.469478130340576,118.54372046930463,0.17,1.0,0.0,1.0,0.1,-0.35245949029922485,1107031.75
171,16,199364,20000001.0,1.3702730315523477,9.048287349787876e-11,0.08363774125839153,  0.50636326541192767      ,2.517493963241577e+33,45.0421371459961,4.469478130340576,118.54372046930463,0.17,1.0,0.0,1.0,0.1,-0.35245949029922485,1107031.75
172,16,199364,20000001.0,1.4236082820195193,8.313043750214114e-10,0.1216700171668474,  0.57802098714093464      ,2.517493963241577e+33,45.0421371459961,4.469478130340576,118.54372046930463,0.17,1.0,0.0,1.0,0.1,-0.35245949029922485,1107031.75
173,16,199364,20000001.0,1.489247247955028,7.565276529209913e-10,0.12050747284595252,  0.57852541616913167      ,2.517493963241577e+33,45.0421371459961,4.469478130340576,118.54372046930463,0.17,1.0,0.0,1.0,0.1,-0.35245949029922485,1107031.75
174,16,199364,20000001.0,1.6613383728217912,1.1042439186398161e-08,0.19189339250320828,  0.68205040935749861      ,2.517493963241577e+33,45.0421371459961,4.469478130340576,118.54372046930463,0.17,1.0,0.0,1.0,0.1,-0.35245949029922485,1107031.75
175,16,199364,20000001.0,1.7755904076428224,1.06108851110404e-08,0.19446945648997746,  0.68795694042521482      ,2.517493963241577e+33,45.0421371459961,4.469478130340576,118.54372046930463,0.17,1.0,0.0,1.0,0.1,-0.35245949029922485,1107031.75
176,16,199364,20000001.0,1.9555125227417904,2.410876618186699e-07,0.3364976192756263,  0.82712064682511588      ,2.517493963241577e+33,45.0421371459961,4.469478130340576,118.54372046930463,0.17,1.0,0.0,1.0,0.1,-0.35245949029922485,1107031.75
177,16,199364,20000001.0,2.1830413909327158,5.161782740237282e-10,0.20287250849029767,  0.70323956920458763      ,2.517493963241577e+33,45.0421371459961,4.469478130340576,118.54372046930463,0.17,1.0,0.0,1.0,0.1,-0.35245949029922485,1107031.75
178,16,199364,20000001.0,2.2935995412983567,2.2044966751997074e-05,0.738149262601025,   1.0865388309717621      ,2.517493963241577e+33,45.0421371459961,4.469478130340576,118.54372046930463,0.17,1.0,0.0,1.0,0.1,-0.35245949029922485,1107031.75
179,16,199364,20000001.0,2.910317944370146,0.02535299217606265,2.397833842351019,   1.6174291370596421      ,2.517493963241577e+33,45.0421371459961,4.469478130340576,118.54372046930463,0.17,1.0,0.0,1.0,0.1,-0.35245949029922485,1107031.75
